id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description,
belt_battlebarge_da,belt_battlebarge,Caliban's Wrath,,graphics/ships/belt_battlebarge_da.png,true,,,For the Lion!,
belt_battlebarge_ws,belt_battlebarge,Furious Pursuit,,graphics/ships/belt_battlebarge_ws.png,true,,,For the Khan and the Emperor!,
belt_battlebarge_sw,belt_battlebarge,Rage of Fenris,,graphics/ships/belt_battlebarge_sw.png,true,,,For Russ and the Allfather!,
belt_battlebarge_if,belt_battlebarge,Legacy of Terra,,graphics/ships/belt_battlebarge_if.png,true,,,They are coming. Kill them all.,
belt_battlebarge_ba,belt_battlebarge,Crimson Blade,,graphics/ships/belt_battlebarge_ba.png,true,,,By the blood of Sanguinius!,
belt_battlebarge_ih,belt_battlebarge,The Gorgon's Gaze,,graphics/ships/belt_battlebarge_ih.png,true,,,The flesh is weak.,
belt_battlebarge_um,belt_battlebarge,Glory of Macragge,,graphics/ships/belt_battlebarge_um.png,true,,,Courage and honour.,
belt_battlebarge_sm,belt_battlebarge,Nocturne's Blaze,,graphics/ships/belt_battlebarge_sm.png,true,,,Into the fires of battle!,
belt_battlebarge_rg,belt_battlebarge,Shadow of Kiavahr,,graphics/ships/belt_battlebarge_rg.png,true,,,Victory or death.,
belt_battlebarge_bt,belt_battlebarge,Eternal Zeal,,graphics/ships/belt_battlebarge_bt.png,true,,,No pity! No remorse! No fear!,
belt_battlebarge_br,belt_battlebarge,Wings of Aurelia,,graphics/ships/belt_battlebarge_br.png,true,,,Knowledge is power.,
belt_battlebarge_cd,belt_battlebarge,Ravenous Void,,graphics/ships/belt_battlebarge_cd.png,true,,,Into the Outer Darkness.,
